player,date,opp,mp,pts,home_away,ppm,days_rest,back_to_back
Dejounte Murray,2024-10-23,CHI,29.983333333333334,14,,0.4669260700389105,NA,NA
Dejounte Murray,2024-11-27,TOR,25.033333333333335,14,,0.559254327563249,35,FALSE
Dejounte Murray,2024-11-29,MEM,33.25,21,@,0.631578947368421,2,FALSE
Dejounte Murray,2024-12-01,NYK,29.566666666666666,10,@,0.3382187147688839,2,FALSE
Dejounte Murray,2024-12-02,ATL,38.11666666666667,7,@,0.18364669873196326,1,TRUE
Dejounte Murray,2024-12-05,PHO,34.666666666666664,17,,0.4903846153846154,3,FALSE
Dejounte Murray,2024-12-07,OKC,35.55,26,,0.7313642756680732,2,FALSE
Dejounte Murray,2024-12-08,SAS,33.61666666666667,18,@,0.5354486861675756,1,TRUE
Dejounte Murray,2024-12-12,SAC,35.166666666666664,20,,0.5687203791469194,4,FALSE
Dejounte Murray,2024-12-15,IND,34.71666666666667,19,@,0.5472875660105616,3,FALSE
Dejounte Murray,2024-12-19,HOU,31.433333333333334,14,@,0.44538706256627786,4,FALSE
Dejounte Murray,2024-12-21,NYK,33.3,14,,0.42042042042042044,2,FALSE
Dejounte Murray,2024-12-22,DEN,43.96666666666667,17,,0.3866565579984837,1,TRUE
Dejounte Murray,2024-12-26,HOU,26.966666666666665,17,,0.6304079110012362,4,FALSE
Dejounte Murray,2024-12-27,MEM,38.63333333333333,15,,0.3882657463330457,1,TRUE
Dejounte Murray,2024-12-30,LAC,40.46666666666667,13,,0.3212520593080725,3,FALSE
Dejounte Murray,2025-01-01,MIA,31.3,12,@,0.38338658146964855,2,FALSE
Dejounte Murray,2025-01-03,WAS,28.283333333333335,11,,0.38892162639952854,2,FALSE
Dejounte Murray,2025-01-05,WAS,35.63333333333333,14,@,0.3928905519176801,2,FALSE
Dejounte Murray,2025-01-07,MIN,33.71666666666667,29,,0.8601087493821057,2,FALSE
Dejounte Murray,2025-01-08,POR,25.866666666666667,20,,0.7731958762886598,1,TRUE
Dejounte Murray,2025-01-10,PHI,31.583333333333332,17,@,0.5382585751978892,2,FALSE
Dejounte Murray,2025-01-12,BOS,35.28333333333333,26,@,0.7368918280585735,2,FALSE
Dejounte Murray,2025-01-14,CHI,34.25,15,@,0.43795620437956206,2,FALSE
Dejounte Murray,2025-01-15,DAL,33.016666666666666,30,,0.9086320040383645,1,TRUE
Dejounte Murray,2025-01-17,UTA,25.016666666666666,8,,0.31978680879413723,2,FALSE
Dejounte Murray,2025-01-20,UTA,44.93333333333333,26,,0.5786350148367952,3,FALSE
Dejounte Murray,2025-01-24,MEM,31.183333333333334,26,@,0.8337787279529664,4,FALSE
Dejounte Murray,2025-01-27,TOR,36.46666666666667,21,@,0.5758683729433272,3,FALSE
Dejounte Murray,2025-01-29,DAL,33.03333333333333,27,,0.8173562058526741,2,FALSE
Dejounte Murray,2025-01-31,BOS,8.15,4,,0.49079754601226994,2,FALSE
Jayson Tatum,2024-10-22,NYK,30.3,37,,1.221122112211221,NA,NA
Jayson Tatum,2024-10-24,WAS,28.65,25,@,0.8726003490401396,2,FALSE
Jayson Tatum,2024-10-26,DET,38.13333333333333,37,@,0.9702797202797203,2,FALSE
Jayson Tatum,2024-10-28,MIL,36.416666666666664,15,,0.41189931350114417,2,FALSE
Jayson Tatum,2024-10-30,IND,43.36666666666667,37,@,0.8531898539584934,2,FALSE
Jayson Tatum,2024-11-01,CHO,35.63333333333333,32,@,0.8980355472404116,2,FALSE
Jayson Tatum,2024-11-02,CHO,33.733333333333334,29,@,0.8596837944664031,1,TRUE
Jayson Tatum,2024-11-04,ATL,30.483333333333334,28,@,0.918534718425369,2,FALSE
Jayson Tatum,2024-11-06,GSW,36.75,32,,0.8707482993197279,2,FALSE
Jayson Tatum,2024-11-08,BRK,42.35,33,,0.7792207792207791,2,FALSE
Jayson Tatum,2024-11-10,MIL,40.2,31,@,0.7711442786069651,2,FALSE
Jayson Tatum,2024-11-12,ATL,37.43333333333333,20,,0.5342831700801425,2,FALSE
Jayson Tatum,2024-11-13,BRK,35.38333333333333,36,@,1.017428167687235,1,TRUE
Jayson Tatum,2024-11-16,TOR,41.65,24,,0.5762304921968787,3,FALSE
Jayson Tatum,2024-11-19,CLE,37.63333333333333,33,,0.8768821966341895,3,FALSE
Jayson Tatum,2024-11-22,WAS,37.233333333333334,16,@,0.4297224709042077,3,FALSE
Jayson Tatum,2024-11-24,MIN,38.416666666666664,26,,0.6767895878524947,2,FALSE
Jayson Tatum,2024-11-25,LAC,30.433333333333334,20,,0.6571741511500547,1,TRUE
Jayson Tatum,2024-11-29,CHI,35.71666666666667,35,@,0.9799346710219318,4,FALSE
Jayson Tatum,2024-12-01,CLE,37.8,33,@,0.8730158730158731,2,FALSE
Jayson Tatum,2024-12-02,MIA,36.1,18,,0.4986149584487534,1,TRUE
Jayson Tatum,2024-12-06,MIL,37.05,34,,0.9176788124156546,4,FALSE
Jayson Tatum,2024-12-07,MEM,37.733333333333334,17,,0.450530035335689,1,TRUE
Jayson Tatum,2024-12-15,WAS,34.88333333333333,28,@,0.802675585284281,8,FALSE
Jayson Tatum,2024-12-19,CHI,37.05,31,,0.8367071524966262,4,FALSE
Jayson Tatum,2024-12-21,CHI,35.516666666666666,43,@,1.2106992022524636,2,FALSE
Jayson Tatum,2024-12-25,PHI,41.85,32,,0.7646356033452807,4,FALSE
Jayson Tatum,2024-12-27,IND,31.65,22,,0.6951026856240127,2,FALSE
Jayson Tatum,2024-12-29,IND,41.21666666666667,22,,0.5337646583097452,2,FALSE
Jayson Tatum,2024-12-31,TOR,29.366666666666667,23,,0.7832009080590239,2,FALSE
Jayson Tatum,2025-01-02,MIN,38.15,33,@,0.8650065530799476,2,FALSE
Jayson Tatum,2025-01-03,HOU,32.95,20,@,0.6069802731411229,1,TRUE
Jayson Tatum,2025-01-05,OKC,38.86666666666667,26,@,0.6689536878216124,2,FALSE
Jayson Tatum,2025-01-07,DEN,37.983333333333334,29,@,0.7634927599824485,2,FALSE
Jayson Tatum,2025-01-10,SAC,35.05,15,,0.427960057061341,3,FALSE
Jayson Tatum,2025-01-12,NOP,36.233333333333334,38,,1.048758049678013,2,FALSE
Jayson Tatum,2025-01-15,TOR,36.2,16,@,0.4419889502762431,3,FALSE
Jayson Tatum,2025-01-17,ORL,35.016666666666666,30,,0.8567348881485007,2,FALSE
Jayson Tatum,2025-01-18,ATL,43.03333333333333,23,,0.5344694035631293,1,TRUE
Jayson Tatum,2025-01-20,GSW,28.45,22,@,0.773286467486819,2,FALSE
Jayson Tatum,2025-01-22,LAC,42.8,24,@,0.5607476635514019,2,FALSE
Jayson Tatum,2025-01-23,LAL,29.816666666666666,16,@,0.5366126327557295,1,TRUE
Jayson Tatum,2025-01-25,DAL,35.11666666666667,24,@,0.68343616516374,2,FALSE
Jayson Tatum,2025-01-27,HOU,41.71666666666667,19,,0.4554534558529764,2,FALSE
Jayson Tatum,2025-01-29,CHI,31.733333333333334,16,,0.5042016806722689,2,FALSE
Jayson Tatum,2025-01-31,NOP,38.5,27,@,0.7012987012987013,2,FALSE
Jayson Tatum,2025-02-02,PHI,44.266666666666666,35,@,0.7906626506024097,2,FALSE
Jayson Tatum,2025-02-04,CLE,34.96666666666667,22,@,0.6291706387035272,2,FALSE
Jayson Tatum,2025-02-06,DAL,28.55,17,,0.5954465849387041,2,FALSE
Jayson Tatum,2025-02-08,NYK,36.733333333333334,40,@,1.0889292196007259,2,FALSE
Jayson Tatum,2025-02-10,MIA,37.733333333333334,33,@,0.8745583038869258,2,FALSE
Jayson Tatum,2025-02-12,SAS,37.9,32,,0.8443271767810027,2,FALSE
Jayson Tatum,2025-02-20,PHI,34.53333333333333,15,@,0.4343629343629344,8,FALSE
Jayson Tatum,2025-02-23,NYK,36.68333333333333,25,,0.6815084052703317,3,FALSE
Jayson Tatum,2025-02-25,TOR,40.333333333333336,19,@,0.47107438016528924,2,FALSE
Jayson Tatum,2025-02-26,DET,33.15,27,@,0.8144796380090498,1,TRUE
Jayson Tatum,2025-02-28,CLE,40.583333333333336,46,,1.1334702258726899,2,FALSE
Jayson Tatum,2025-03-02,DEN,38.28333333333333,16,,0.4179364388332608,2,FALSE
Jayson Tatum,2025-03-06,PHI,31.483333333333334,35,,1.1116993118051879,4,FALSE
Jayson Tatum,2025-03-08,LAL,45.43333333333333,40,,0.880410858400587,2,FALSE
Jayson Tatum,2025-03-12,OKC,41.25,33,,0.8,4,FALSE
Jayson Tatum,2025-03-14,MIA,36.88333333333333,28,@,0.7591504744690466,2,FALSE
Jayson Tatum,2025-03-15,BRK,36.38333333333333,20,@,0.5497022446174988,1,TRUE
Jayson Tatum,2025-03-21,UTA,33.46666666666667,26,@,0.7768924302788844,6,FALSE
Jayson Tatum,2025-03-23,POR,36.766666666666666,30,@,0.8159564823209429,2,FALSE
Jayson Tatum,2025-03-24,SAC,26.45,25,@,0.945179584120983,1,TRUE
Jayson Tatum,2025-03-29,SAS,35.88333333333333,29,@,0.8081746400371574,5,FALSE
Jayson Tatum,2025-03-31,MEM,38.38333333333333,25,@,0.6513243595310465,2,FALSE
Jayson Tatum,2025-04-02,MIA,31.883333333333333,16,,0.5018295870360691,2,FALSE
Jayson Tatum,2025-04-04,PHO,34.6,23,,0.6647398843930635,2,FALSE
Jayson Tatum,2025-04-08,NYK,47.733333333333334,32,@,0.6703910614525139,4,FALSE
Jayson Tatum,2025-04-11,CHO,31.816666666666666,16,,0.5028810895756941,3,FALSE
Quentin Grimes,2024-10-24,SAS,14.983333333333333,2,,0.13348164627363737,NA,NA
Quentin Grimes,2024-10-26,PHO,5.766666666666667,0,@,0,2,FALSE
Quentin Grimes,2024-10-28,UTA,12.8,4,,0.3125,2,FALSE
Quentin Grimes,2024-10-29,MIN,12.15,9,@,0.7407407407407407,1,TRUE
Quentin Grimes,2024-10-31,HOU,10.183333333333334,1,,0.09819967266775777,2,FALSE
Quentin Grimes,2024-11-03,ORL,17.45,5,,0.2865329512893983,3,FALSE
Quentin Grimes,2024-11-04,IND,10.05,0,,0,1,TRUE
Quentin Grimes,2024-11-06,CHI,15.666666666666666,7,,0.4468085106382979,2,FALSE
Quentin Grimes,2024-11-08,PHO,9.35,2,,0.21390374331550802,2,FALSE
Quentin Grimes,2024-11-12,GSW,28.933333333333334,6,@,0.2073732718894009,4,FALSE
Quentin Grimes,2024-11-14,UTA,36.03333333333333,15,@,0.4162812210915819,2,FALSE
Quentin Grimes,2024-11-16,SAS,22.283333333333335,5,,0.22438294689603588,2,FALSE
Quentin Grimes,2024-11-17,OKC,20.766666666666666,10,@,0.48154093097913325,1,TRUE
Quentin Grimes,2024-11-19,NOP,23.2,12,,0.5172413793103449,2,FALSE
Quentin Grimes,2024-11-22,DEN,28.75,14,@,0.48695652173913045,3,FALSE
Quentin Grimes,2024-11-24,MIA,26.583333333333332,4,@,0.15047021943573669,2,FALSE
Quentin Grimes,2024-11-27,NYK,28.683333333333334,21,,0.7321324811156305,3,FALSE
Quentin Grimes,2024-11-30,UTA,28.6,24,@,0.8391608391608392,3,FALSE
Quentin Grimes,2024-12-01,POR,35.78333333333333,28,@,0.7824871914299022,1,TRUE
Quentin Grimes,2024-12-03,MEM,20.233333333333334,8,,0.39538714991762763,2,FALSE
Quentin Grimes,2024-12-05,WAS,24.666666666666668,14,@,0.5675675675675675,2,FALSE
Quentin Grimes,2024-12-07,TOR,17.383333333333333,0,@,0,2,FALSE
Quentin Grimes,2024-12-10,OKC,18.166666666666668,4,@,0.2201834862385321,3,FALSE
Quentin Grimes,2024-12-15,GSW,18.583333333333332,14,@,0.7533632286995516,5,FALSE
Quentin Grimes,2024-12-19,LAC,28.15,11,,0.3907637655417407,4,FALSE
Quentin Grimes,2024-12-21,LAC,25.066666666666666,20,,0.7978723404255319,2,FALSE
Quentin Grimes,2024-12-23,POR,17.116666666666667,5,,0.2921129503407984,2,FALSE
Quentin Grimes,2024-12-25,MIN,24.283333333333335,10,,0.4118050789293068,2,FALSE
Quentin Grimes,2024-12-27,PHO,28.983333333333334,8,@,0.27602070155261643,2,FALSE
Quentin Grimes,2024-12-28,POR,27.716666666666665,15,@,0.5411906193625977,1,TRUE
Quentin Grimes,2024-12-30,SAC,32.916666666666664,11,@,0.3341772151898734,2,FALSE
Quentin Grimes,2025-01-01,HOU,30.183333333333334,17,@,0.5632247377139702,2,FALSE
Quentin Grimes,2025-01-03,CLE,32.56666666666667,26,,0.7983623336745137,2,FALSE
Quentin Grimes,2025-01-06,MEM,26.016666666666666,9,@,0.3459320948110186,3,FALSE
Quentin Grimes,2025-01-07,LAL,29.15,23,,0.7890222984562607,1,TRUE
Quentin Grimes,2025-01-09,POR,26.866666666666667,13,,0.4838709677419355,2,FALSE
Quentin Grimes,2025-01-12,DEN,18.633333333333333,3,,0.16100178890876565,3,FALSE
Quentin Grimes,2025-01-14,DEN,26.583333333333332,10,,0.3761755485893417,2,FALSE
Quentin Grimes,2025-01-15,NOP,18.533333333333335,14,@,0.7553956834532374,1,TRUE
Quentin Grimes,2025-01-17,OKC,21.6,5,,0.23148148148148145,2,FALSE
Quentin Grimes,2025-01-22,MIN,36.3,5,,0.13774104683195593,5,FALSE
Quentin Grimes,2025-01-23,OKC,27.116666666666667,9,@,0.33189920098340503,1,TRUE
Quentin Grimes,2025-01-25,BOS,25.9,20,,0.7722007722007722,2,FALSE
Quentin Grimes,2025-01-27,WAS,24.766666666666666,9,,0.3633916554508749,2,FALSE
Quentin Grimes,2025-01-29,NOP,20.316666666666666,17,@,0.8367514356029533,2,FALSE
Quentin Grimes,2025-01-31,DET,10.2,0,@,0,2,FALSE
Quentin Grimes,2025-02-02,CLE,23.683333333333334,11,@,0.46446164672765655,2,FALSE
Quentin Grimes,2025-02-07,DET,28.016666666666666,14,@,0.4997025580011898,5,FALSE
Quentin Grimes,2025-02-09,MIL,31.316666666666666,10,@,0.31931878658861096,2,FALSE
Quentin Grimes,2025-02-11,TOR,35.516666666666666,13,,0.3660253402158611,2,FALSE
Quentin Grimes,2025-02-12,BRK,36.45,30,@,0.8230452674897119,1,TRUE
Quentin Grimes,2025-02-20,BOS,33.1,12,,0.36253776435045315,8,FALSE
Quentin Grimes,2025-02-22,BRK,37.36666666666667,16,,0.4281891168599465,2,FALSE
Quentin Grimes,2025-02-24,CHI,23.9,9,,0.3765690376569038,2,FALSE
Quentin Grimes,2025-02-26,NYK,20.616666666666667,3,@,0.14551333872271624,2,FALSE
Quentin Grimes,2025-03-01,GSW,36.71666666666667,44,,1.1983658647299138,3,FALSE
Quentin Grimes,2025-03-03,POR,38.11666666666667,14,,0.36729339746392653,2,FALSE
Quentin Grimes,2025-03-04,MIN,38.5,30,@,0.7792207792207793,1,TRUE
Quentin Grimes,2025-03-06,BOS,32.7,6,@,0.18348623853211007,2,FALSE
Quentin Grimes,2025-03-09,UTA,27.383333333333333,25,,0.9129640900791236,3,FALSE
Quentin Grimes,2025-03-10,ATL,39.416666666666664,35,@,0.8879492600422834,1,TRUE
Quentin Grimes,2025-03-12,TOR,30.533333333333335,29,@,0.9497816593886462,2,FALSE
Quentin Grimes,2025-03-16,DAL,32.21666666666667,28,@,0.8691153647180548,4,FALSE
Quentin Grimes,2025-03-17,HOU,43.016666666666666,46,@,1.0693529639674546,1,TRUE
Quentin Grimes,2025-03-19,OKC,32.18333333333333,28,@,0.8700155359917142,2,FALSE
Quentin Grimes,2025-03-21,SAS,34.9,25,@,0.7163323782234957,2,FALSE
Quentin Grimes,2025-03-23,ATL,34.95,26,@,0.7439198855507868,2,FALSE
Quentin Grimes,2025-03-26,WAS,33.46666666666667,22,,0.6573705179282868,3,FALSE
Quentin Grimes,2025-03-29,MIA,30,15,,0.5,3,FALSE
Quentin Grimes,2025-04-01,NYK,36.36666666666667,26,@,0.7149404216315307,3,FALSE
Quentin Grimes,2025-04-03,MIL,37.68333333333333,24,,0.6368863334807607,2,FALSE
Quentin Grimes,2025-04-05,MIN,36.06666666666667,28,,0.7763401109057301,2,FALSE
Quentin Grimes,2025-04-07,MIA,37.88333333333333,29,@,0.7655081390233172,2,FALSE
Quentin Grimes,2025-04-09,WAS,29.633333333333333,17,@,0.5736782902137233,2,FALSE
Quentin Grimes,2025-04-13,CHI,35.2,8,,0.22727272727272727,4,FALSE
