team,city,region
ATL,Atlanta,GA
BOS,Boston,MA
BKN,Brooklyn,NY
CHA,Charlotte,NC
CHI,Chicago,IL
CLE,Cleveland,OH
DAL,Dallas,TX
DEN,Denver,CO
DET,Detroit,MI
GSW,San Francisco,CA
HOU,Houston,TX
IND,Indianapolis,IN
LAC,Los Angeles,CA
LAL,Los Angeles,CA
MEM,Memphis,TN
MIA,Miami,FL
MIL,Milwaukee,WI
MIN,Minneapolis,MN
NOP,New Orleans,LA
NYK,New York,NY
OKC,Oklahoma City,OK
ORL,Orlando,FL
PHI,Philadelphia,PA
PHX,Phoenix,AZ
POR,Portland,OR
SAC,Sacramento,CA
SAS,San Antonio,TX
TOR,Toronto,ON
UTA,Salt Lake City,UT
WAS,Washington,DC
